ID,Link,Date,Sport,Country,League
8naBX7VL,https://www.betexplorer.com/soccer/austria/bundesliga-women/first-vienna-union-kleinmunchen/8naBX7VL/,"2022,9,25,14,00",soccer,austria,bundesliga-women
2ReZKKsn,https://www.betexplorer.com/soccer/china/super-league/shenzhen-fc-shandong-taishan/2ReZKKsn/,"2022,9,25,14,00",soccer,china,super-league
44cDwcEJ,https://www.betexplorer.com/soccer/denmark/2nd-division/brabrand-kolding-if/44cDwcEJ/,"2022,9,25,14,00",soccer,denmark,2nd-division
tIpBCxTn,https://www.betexplorer.com/soccer/denmark/3rd-division/middelfart-lyseng/tIpBCxTn/,"2022,9,25,14,00",soccer,denmark,3rd-division
xpvKAGca,https://www.betexplorer.com/soccer/denmark/3rd-division/ab-tarnby-ishoj-if/xpvKAGca/,"2022,9,25,14,00",soccer,denmark,3rd-division
fLlFBdrg,https://www.betexplorer.com/soccer/denmark/3rd-division/young-boys-fd-vanlose/fLlFBdrg/,"2022,9,25,14,00",soccer,denmark,3rd-division
AHjiuBsR,https://www.betexplorer.com/soccer/estonia/meistriliiga-women/polva-lootos-tammeka-tartu/AHjiuBsR/,"2022,9,25,14,00",soccer,estonia,meistriliiga-women
bsmmtiSK,https://www.betexplorer.com/soccer/estonia/meistriliiga-women/tallinna-kalev-tulevik/bsmmtiSK/,"2022,9,25,14,00",soccer,estonia,meistriliiga-women
b7AbHGPs,https://www.betexplorer.com/soccer/europe/euro-u19/austria-latvia/b7AbHGPs/,"2022,9,25,14,00",soccer,europe,euro-u19
AVF1PVNI,https://www.betexplorer.com/soccer/europe/euro-u19/england-georgia/AVF1PVNI/,"2022,9,25,14,00",soccer,europe,euro-u19
4xakqW3K,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/keski-uusimaa-lapa/4xakqW3K/,"2022,9,25,14,00",soccer,finland,kakkonen-group-a
C2bgrjJQ,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/lahden-reipas-kiffen/C2bgrjJQ/,"2022,9,25,14,00",soccer,finland,kakkonen-group-a
OtM2LSBD,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/njs-fc-futura/OtM2LSBD/,"2022,9,25,14,00",soccer,finland,kakkonen-group-a
Qo0opClE,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/peka-jippo/Qo0opClE/,"2022,9,25,14,00",soccer,finland,kakkonen-group-a
EBpLwARs,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/pallo-pojat-juniorit-ppj-atlantis/EBpLwARs/,"2022,9,25,14,00",soccer,finland,kakkonen-group-a
UZMlS739,https://www.betexplorer.com/soccer/finland/kakkonen-group-b/eps-ilves-kissat/UZMlS739/,"2022,9,25,14,00",soccer,finland,kakkonen-group-b
OrNlnEAF,https://www.betexplorer.com/soccer/finland/kansallinen-liiga-women/ilves-njs/OrNlnEAF/,"2022,9,25,14,00",soccer,finland,kansallinen-liiga-women
pSGaLLA3,https://www.betexplorer.com/soccer/germany/regionalliga-west/alemannia-aachen-preussen-munster/pSGaLLA3/,"2022,9,25,14,00",soccer,germany,regionalliga-west
dYGUZaVQ,https://www.betexplorer.com/soccer/germany/regionalliga-sudwest/aalen-ulm/dYGUZaVQ/,"2022,9,25,14,00",soccer,germany,regionalliga-sudwest
SG3dVJwr,https://www.betexplorer.com/soccer/germany/regionalliga-sudwest/freiberg-tsv-steinbach-haiger/SG3dVJwr/,"2022,9,25,14,00",soccer,germany,regionalliga-sudwest
YgrNGKOl,https://www.betexplorer.com/soccer/germany/regionalliga-sudwest/fulda-lehnerz-worms/YgrNGKOl/,"2022,9,25,14,00",soccer,germany,regionalliga-sudwest
